Threshold [mV] - No Scintillator	Frequency  [kHz] - No Scintillator	Threshold [mV] - With Scintillator	Frequency  [kHz] - With Scintillator	Threshold [mV] - With Source	Frequency  [kHz] - With Source
-22	110,417			-24	87,96
				-26	68,0817
				-28	51,79
				-30	38,975
				-32	28,0767
				-34	20,1267
				-36	14,1458
				-38	10,075
				-40	6,9075
				-42	4,93167
				-44	3,53667
				-46	2,465
				-48	1,71083
				-50	1,30167
				-52	0,975833
				-54	0,821667
				-56	0,675833
				-58	0,5375
				-60	0,514167
				-62	0,486667
				-64	0,448333
				-66	0,4325
				-68	0,434167
				-70	0,444167
				-72	0,425833
				-74	0,456667
				-76	0,446667
				-78	0,428333
				-80	0,454167
				-82	0,440833
				-84	0,43
				-86	0,4225
				-88	0,4325
				-90	0,436667
				-92	0,399167
				-94	0,418333
				-96	0,4325
				-98	0,4225
				-100	0,418333
				-102	0,415
				-104	0,415
				-106	0,480833
				-108	0,438333
				-110	0,378333
				-112	0,3925
				-114	0,4225
				-116	0,449167
				-118	0,398333
				-120	0,4525
				-122	0,395833
				-124	0,416667
				-126	0,381667
				-128	0,395
				-130	0,3925
				-132	0,436667
				-134	0,4225
				-136	0,37
				-138	0,376667
				-140	0,410833
				-142	0,415
				-144	0,401667
				-146	0,385
				-148	0,420833
				-150	0,388333
